epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.1,0.74866,3.37483,1.11123,0.80219,0.14881,0.29471,0.25968,0.53352,3.63158,0.92539,0.000272327,0.000272327,0.000272327
2,655.398,0.68201,2.21698,1.02364,0.82816,0.42202,0.57624,0.5059,0.54719,2.54994,0.93381,0.000539104,0.000539104,0.000539104
3,903.46,0.73383,2.0354,1.06231,0.5662,0.70061,0.72604,0.63147,0.53359,2.21939,0.96016,0.000794885,0.000794885,0.000794885
4,1144.03,0.75441,1.84947,1.08598,0.71868,0.71534,0.76644,0.64265,0.58823,2.40897,0.97845,0.00078352,0.00078352,0.00078352
5,1404.35,0.76221,1.74337,1.04899,0.63437,0.77394,0.74682,0.6489,0.58736,1.88769,0.98481,0.000767026,0.000767026,0.000767026
6,1664.03,0.73607,1.65498,1.06042,0.81309,0.69194,0.78441,0.70067,0.51987,1.91002,0.93164,0.000750533,0.000750533,0.000750533
7,1918.08,0.73128,1.66193,1.049,0.77036,0.8125,0.82284,0.71739,0.50116,1.68869,0.93056,0.00073404,0.00073404,0.00073404
8,2166.24,0.7111,1.4006,1.05872,0.80551,0.87897,0.83854,0.75231,0.49613,1.40101,0.92869,0.000717546,0.000717546,0.000717546
9,2416.61,0.67807,1.26442,1.02226,0.74605,0.86158,0.91317,0.79567,0.51413,1.40215,0.92117,0.000701053,0.000701053,0.000701053
10,2668.03,0.65428,1.2408,1.00989,0.78994,0.87001,0.84533,0.75503,0.4792,1.27182,0.92059,0.000684559,0.000684559,0.000684559
11,2916.86,0.64623,1.15126,0.99211,0.83954,0.8875,0.8914,0.7907,0.49637,1.20881,0.92613,0.000668066,0.000668066,0.000668066
12,3161.17,0.61979,1.09238,0.98147,0.78414,0.88188,0.86888,0.79337,0.44183,1.15621,0.90348,0.000651573,0.000651573,0.000651573
